id,x_coord,y_coord,hidrologia,suelo_hidrico,vegetacion_hidrofita,presion_urbana,humedal_real_simulado,nivel_ruido,hidrologia_obs,suelo_hidrico_obs,vegetacion_hidrofita_obs,criterios_reales,criterios_observados
44,31.24,66.29,1,0,0,65.97,0,0.15,1,0,0,1,1
45,83.23,1.98,0,1,0,83.65,0,0.15,0,1,1,1,2
46,80.48,32.65,1,0,1,68.27,0,0.15,1,0,1,2,2
47,38.75,19.78,1,0,1,65.15,1,0.15,1,0,1,2,2
48,28.83,77.82,0,1,1,91.08,0,0.15,1,1,1,2,3
49,68.25,86.06,0,0,1,100.0,0,0.15,0,0,0,1,0
50,13.98,24.67,1,0,1,68.75,0,0.15,1,0,1,2,2
51,19.99,66.78,1,1,0,58.19,1,0.15,1,1,0,2,2
52,0.74,12.94,1,0,1,41.73,1,0.15,1,0,1,2,2
53,78.69,27.52,1,1,1,72.12,1,0.15,1,1,1,3,3
54,66.49,13.87,0,0,1,83.64,0,0.15,0,0,1,1,1
55,70.52,28.35,1,1,0,80.56,0,0.15,1,1,0,2,2
56,78.07,67.47,0,1,0,83.72,0,0.15,0,1,1,1,2
57,45.89,91.03,1,0,1,62.7,1,0.15,1,0,1,2,2
58,56.87,20.25,1,1,0,53.51,1,0.15,1,0,0,2,1
59,13.98,54.21,1,0,1,61.61,0,0.15,1,0,1,2,2
60,11.45,70.14,0,0,0,92.18,0,0.15,0,0,0,0,0
61,66.84,95.29,1,1,0,100.0,1,0.15,0,1,0,2,1
62,47.11,61.01,0,1,1,36.51,1,0.15,0,1,1,2,2
63,56.52,25.51,1,1,1,37.98,1,0.15,1,1,1,3,3
64,76.5,62.55,0,0,1,65.81,0,0.15,0,1,1,1,2
65,63.47,32.05,1,1,1,76.22,0,0.15,1,1,1,3,3
66,55.36,97.61,1,1,0,72.17,1,0.15,1,1,0,2,2
67,55.92,39.97,1,1,1,67.44,1,0.15,1,1,1,3,3
68,30.4,68.54,1,0,1,54.35,1,0.15,0,0,1,2,1
69,3.08,2.32,1,0,0,71.23,0,0.15,1,0,0,1,1
70,43.67,40.01,1,1,1,43.84,1,0.15,1,0,1,3,2
71,21.46,87.51,1,0,1,45.46,1,0.15,1,0,1,2,2
72,40.85,61.02,0,0,1,71.89,0,0.15,0,1,1,1,2
73,85.34,44.39,1,0,1,39.99,1,0.15,0,0,1,2,1
74,23.39,93.59,1,1,0,31.27,1,0.15,0,0,0,2,0
75,5.83,85.4,0,1,0,27.51,1,0.15,0,1,1,1,2
76,28.14,32.22,1,1,1,63.26,1,0.15,1,1,0,3,2
77,29.36,54.45,0,0,1,73.27,0,0.15,0,0,1,1,1
78,66.19,48.98,1,1,1,70.32,1,0.15,1,1,1,3,3
79,55.7,63.22,0,1,1,28.49,1,0.15,0,0,1,2,1
80,78.39,33.41,1,1,1,39.86,1,0.15,1,1,1,3,3
81,66.43,24.42,1,1,1,71.22,1,0.15,1,1,1,3,3
82,40.64,91.27,0,1,1,27.7,0,0.15,0,1,1,2,2
83,81.4,92.39,0,1,1,83.94,1,0.15,1,1,1,2,3
84,16.7,84.33,0,1,1,19.0,1,0.15,0,1,1,2,2
85,2.27,97.82,0,0,0,76.06,0,0.15,0,0,0,0,0
86,9.0,74.5,0,0,0,50.03,0,0.15,0,1,0,0,1
87,72.24,76.47,0,1,1,96.84,0,0.15,0,1,1,2,2
88,46.19,76.26,0,1,1,100.0,1,0.15,0,1,1,2,2
89,16.13,48.06,0,0,1,11.66,1,0.15,0,0,1,1,1
90,50.1,45.65,1,0,1,67.65,1,0.15,1,0,1,2,2
91,15.23,24.02,1,1,1,18.88,1,0.15,0,1,1,3,2
92,69.63,64.48,1,0,1,86.24,0,0.15,1,0,1,2,2
93,44.62,28.93,1,0,0,69.85,0,0.15,1,0,0,1,1
94,38.1,25.78,1,1,1,55.6,1,0.15,1,1,1,3,3
95,30.15,58.6,0,0,1,36.95,1,0.15,0,0,1,1,1
96,63.03,41.0,1,1,1,72.25,1,0.15,0,1,0,3,1
97,36.18,21.89,1,0,1,47.87,0,0.15,1,0,1,2,2
98,8.76,81.61,0,0,1,84.06,0,0.15,0,1,0,1,1
99,11.8,86.06,0,0,1,40.4,1,0.15,0,1,1,1,2
100,96.19,16.77,1,1,1,63.6,0,0.15,1,1,1,3,3
101,90.86,0.75,1,0,0,100.0,0,0.15,1,0,0,1,1
102,69.97,33.61,1,1,1,60.42,1,0.15,0,1,1,3,2
103,26.59,79.75,1,1,1,81.17,1,0.15,0,1,1,3,2
104,96.92,83.92,1,1,1,87.77,1,0.15,1,0,1,3,2
105,77.88,13.83,1,1,0,68.7,0,0.15,1,1,0,2,2
106,71.69,77.43,1,1,1,60.56,1,0.15,1,1,1,3,3
107,44.94,11.57,1,1,1,57.17,1,0.15,1,1,1,3,3
108,27.22,39.01,0,0,1,93.23,0,0.15,0,0,1,1,1
109,9.64,99.86,0,0,1,71.41,0,0.15,1,0,0,1,1
110,90.26,19.26,1,0,0,69.39,1,0.15,1,0,1,1,2
111,45.58,15.4,1,1,1,52.2,1,0.15,1,1,0,3,2
112,20.24,42.28,1,0,0,66.25,0,0.15,1,0,1,1,2
113,30.6,61.97,0,1,0,72.52,1,0.15,0,1,1,1,2
114,57.92,93.29,0,1,1,76.54,0,0.15,0,0,1,2,1
115,17.68,98.08,0,0,1,60.1,0,0.15,1,0,1,1,2
116,85.66,6.96,0,1,0,56.38,1,0.15,0,1,0,1,1
117,75.85,13.8,1,1,0,72.1,0,0.15,0,1,1,2,2
118,71.95,79.07,0,1,0,39.55,1,0.15,0,1,0,1,1
119,43.21,27.06,1,1,1,42.8,1,0.15,1,1,1,3,3
120,62.73,88.48,0,1,1,83.66,1,0.15,1,1,1,2,3
121,58.41,66.35,0,1,0,73.3,0,0.15,0,1,1,1,2
122,64.98,11.18,1,1,0,71.52,1,0.15,1,0,1,2,2
123,8.44,83.25,0,0,1,24.45,0,0.15,0,0,1,1,1
124,41.58,17.64,1,1,1,63.49,1,0.15,1,1,1,3,3
125,4.16,42.35,1,0,0,60.46,0,0.15,1,1,0,1,2
126,49.4,55.22,1,1,1,48.65,1,0.15,1,1,1,3,3
127,32.99,50.08,1,0,1,55.14,1,0.15,0,0,0,2,0
128,14.45,68.62,0,0,1,57.68,0,0.15,0,0,1,1,1
129,10.34,65.27,0,0,0,30.6,0,0.15,0,0,1,0,1
130,58.76,99.2,0,0,0,73.45,1,0.15,1,0,0,0,1
131,17.06,99.94,0,0,1,70.15,0,0.15,1,0,1,1,2
132,92.51,51.65,0,0,1,80.1,0,0.15,0,0,1,1,1
133,58.11,9.52,0,1,1,43.07,1,0.15,0,1,1,2,2
134,34.69,72.78,1,0,1,29.15,1,0.15,1,0,1,2,2
135,59.09,97.67,0,0,1,62.36,1,0.15,0,0,0,1,0
136,2.28,31.83,1,0,1,70.39,1,0.15,1,0,1,2,2
137,95.86,46.12,1,0,1,71.21,1,0.15,1,0,1,2,2
138,48.23,42.48,0,1,0,51.93,0,0.15,0,1,0,1,1
139,78.27,5.14,1,0,1,67.17,1,0.15,1,0,0,2,1
140,8.27,67.23,1,0,0,45.21,1,0.15,1,0,0,1,1
141,48.67,35.33,0,1,1,87.99,0,0.15,0,1,0,2,1
142,49.07,78.75,0,1,1,83.98,0,0.15,0,1,1,2,2
143,93.78,83.21,1,0,1,19.67,1,0.15,1,1,1,2,3
144,57.17,82.12,1,1,1,85.02,0,0.15,1,0,1,3,2
145,47.35,41.67,1,0,1,39.78,1,0.15,0,1,1,2,2
146,26.7,32.15,0,0,1,27.93,1,0.15,0,0,1,1,1
147,33.16,74.88,0,1,1,67.27,0,0.15,1,1,1,2,3
148,52.07,80.14,1,0,1,63.59,1,0.15,1,0,1,2,2
149,43.89,49.13,0,0,1,28.72,1,0.15,0,1,1,1,2
150,2.16,89.3,0,0,0,73.81,0,0.15,0,0,0,0,0
151,82.63,14.39,1,1,1,76.87,1,0.15,1,1,1,3,3
152,89.62,87.91,0,1,1,67.16,1,0.15,0,1,1,2,2
153,14.02,9.61,1,0,1,33.62,1,0.15,1,1,1,2,3
154,55.4,15.35,1,1,1,42.18,1,0.15,1,0,1,3,2
155,10.86,53.38,0,0,1,81.13,0,0.15,0,0,1,1,1
156,67.22,6.75,0,1,1,36.63,1,0.15,0,1,1,2,2
157,28.12,5.28,1,0,0,86.06,0,0.15,1,0,0,1,1
158,65.94,0.05,1,1,1,57.84,1,0.15,1,1,0,3,2
159,72.7,43.63,1,0,1,60.64,1,0.15,1,0,1,2,2
160,76.86,77.46,0,1,1,35.89,1,0.15,0,1,1,2,2
161,10.77,3.48,1,1,1,62.35,0,0.15,1,1,1,3,3
162,91.6,65.23,0,0,1,76.72,1,0.15,1,0,1,1,2
163,23.02,82.31,0,0,0,46.37,0,0.15,1,0,0,0,1
164,3.74,16.8,1,0,1,52.91,1,0.15,1,0,1,2,2
165,55.49,14.69,0,1,1,77.3,0,0.15,0,1,1,2,2
166,37.09,86.08,0,1,1,60.97,0,0.15,1,1,1,2,3
167,82.98,82.31,1,1,1,78.42,1,0.15,1,0,1,3,2
168,80.83,53.89,1,1,1,28.97,1,0.15,1,1,1,3,3
169,31.71,81.92,0,0,1,75.48,0,0.15,0,0,1,1,1
170,95.29,9.28,1,1,0,93.73,1,0.15,1,1,0,2,2
171,29.09,39.45,1,1,0,92.31,0,0.15,1,1,0,2,2
172,51.51,73.78,0,0,1,81.11,0,0.15,0,0,1,1,1
173,25.6,25.75,1,1,0,63.57,0,0.15,1,1,0,2,2
174,93.6,75.23,0,0,1,75.23,0,0.15,1,0,1,1,2
175,16.46,50.42,1,0,0,61.27,0,0.15,1,1,0,1,2
176,4.49,75.03,0,0,1,71.82,0,0.15,0,0,1,1,1
177,43.51,46.47,1,0,1,41.96,1,0.15,1,0,1,2,2
178,99.24,36.79,0,1,0,98.93,0,0.15,0,0,0,1,0
179,89.17,21.92,1,1,0,100.0,1,0.15,1,1,1,2,3
180,74.86,20.84,0,1,0,79.73,0,0.15,0,1,0,1,1
181,89.08,75.15,1,0,1,62.76,0,0.15,1,1,1,2,3
182,89.34,11.89,0,1,0,62.82,0,0.15,0,1,0,1,1
183,51.89,8.6,1,1,1,69.4,1,0.15,1,0,0,3,1
184,31.59,17.63,1,0,1,68.94,0,0.15,1,1,1,2,3
185,77.2,17.53,1,1,0,77.33,1,0.15,1,1,0,2,2
186,66.17,82.31,0,1,0,52.0,1,0.15,0,1,0,1,1
187,37.37,39.85,0,1,1,66.63,1,0.15,0,1,1,2,2
188,9.45,99.04,0,1,0,61.83,0,0.15,0,1,0,1,1
189,74.68,13.72,1,1,1,68.95,0,0.15,1,1,1,3,3
190,26.25,65.35,1,0,1,62.15,0,0.15,1,0,1,2,2
191,93.68,44.87,1,1,1,48.27,1,0.15,1,1,0,3,2
192,24.1,39.29,1,0,1,99.85,0,0.15,1,0,1,2,2
193,12.28,87.51,0,0,0,63.53,0,0.15,1,0,0,0,1
194,83.11,97.56,0,1,0,93.09,0,0.15,0,1,1,1,2
195,15.33,87.29,0,0,0,57.24,0,0.15,0,0,0,0,0
196,17.93,19.23,1,0,1,49.65,0,0.15,0,0,1,2,1
197,59.94,22.08,1,1,1,55.24,1,0.15,1,1,1,3,3
198,87.46,65.61,0,1,0,100.0,0,0.15,0,1,1,1,2
199,19.64,28.91,1,0,1,58.58,0,0.15,1,0,0,2,1
200,31.03,73.47,0,1,1,37.83,1,0.15,0,1,0,2,1
201,77.74,56.64,1,1,1,65.92,1,0.15,1,0,1,3,2
202,97.18,55.09,0,0,0,94.28,0,0.15,0,1,0,0,1
203,50.07,82.85,1,0,1,82.8,1,0.15,1,0,1,2,2
204,14.39,71.05,0,0,0,71.26,0,0.15,0,0,0,0,0
205,1.39,2.66,1,1,1,54.65,1,0.15,0,1,1,3,2
206,22.97,4.95,1,0,1,61.25,1,0.15,1,0,1,2,2
207,13.18,60.16,1,0,1,28.85,1,0.15,1,1,0,2,2
208,67.77,48.62,1,1,1,63.53,0,0.15,1,1,1,3,3
209,12.18,26.02,1,0,1,29.7,1,0.15,1,1,1,2,3
210,50.63,41.87,1,1,1,35.34,1,0.15,1,1,1,3,3
211,69.43,75.79,1,1,1,74.08,1,0.15,1,1,1,3,3
212,58.11,82.66,0,0,1,81.17,0,0.15,0,0,1,1,1
213,19.98,56.12,0,1,1,68.27,0,0.15,0,0,1,2,1
214,80.41,38.54,1,1,1,40.62,0,0.15,0,1,1,3,2
215,71.54,27.07,0,1,1,94.77,1,0.15,0,1,1,2,2
216,73.9,52.19,1,1,1,48.17,1,0.15,1,1,1,3,3
217,13.11,31.47,1,0,1,80.11,1,0.15,1,0,1,2,2
218,12.38,56.41,0,0,1,41.91,0,0.15,0,0,0,1,0
219,92.76,67.67,1,1,0,54.19,1,0.15,1,1,0,2,2
220,39.76,6.61,1,0,1,18.69,1,0.15,1,1,1,2,3
221,30.09,0.11,1,0,1,57.32,1,0.15,1,0,1,2,2
222,48.86,21.23,1,0,1,56.59,0,0.15,1,0,1,2,2
223,66.29,89.45,0,0,1,61.4,0,0.15,0,0,1,1,1
224,95.56,64.63,0,1,1,45.93,1,0.15,0,1,1,2,2
225,28.64,17.2,0,0,1,81.6,0,0.15,0,0,1,1,1
226,92.48,89.03,0,0,0,96.5,0,0.15,0,0,0,0,0
227,2.49,47.0,0,0,1,91.61,0,0.15,0,0,1,1,1
228,55.52,47.61,1,1,1,46.91,1,0.15,1,0,1,3,2
229,63.4,93.55,0,1,1,63.35,1,0.15,0,1,1,2,2
230,10.59,5.95,1,0,1,26.02,1,0.15,1,0,1,2,2
231,14.03,21.52,1,0,0,42.15,1,0.15,1,0,0,1,1
232,41.91,58.58,0,1,1,64.18,0,0.15,1,1,1,2,3
233,96.62,19.55,1,1,1,75.59,1,0.15,1,1,1,3,3
234,59.6,67.95,1,1,1,75.17,1,0.15,1,1,1,3,3
235,93.3,21.41,1,1,0,100.0,0,0.15,1,1,1,2,3
236,80.44,9.92,0,1,0,68.62,0,0.15,0,1,0,1,1
237,46.74,20.7,1,0,1,71.66,1,0.15,1,0,1,2,2
238,78.48,42.27,1,1,0,62.91,1,0.15,1,1,0,2,2
239,1.78,17.61,1,0,1,39.25,1,0.15,1,0,1,2,2
240,10.91,13.47,1,0,1,53.39,0,0.15,1,0,1,2,2
241,82.94,86.03,0,0,1,73.78,0,0.15,0,0,1,1,1
242,79.68,32.04,1,1,0,91.8,1,0.15,0,1,0,2,1
243,23.26,36.08,1,1,1,54.73,1,0.15,0,1,1,3,2
244,53.08,5.53,1,1,1,60.06,1,0.15,1,1,1,3,3
245,60.6,35.74,1,1,1,54.95,1,0.15,1,0,0,3,1
246,86.77,26.48,1,1,1,100.0,1,0.15,1,1,1,3,3
247,60.31,61.05,0,1,0,97.96,0,0.15,0,1,1,1,2
248,41.26,20.54,1,0,1,42.78,1,0.15,1,0,1,2,2
249,37.42,88.84,0,1,1,48.98,1,0.15,0,1,1,2,2
250,42.59,92.97,0,1,0,51.22,1,0.15,0,1,0,1,1
251,65.19,9.98,1,0,1,62.63,1,0.15,1,1,1,2,3
252,86.75,10.74,1,1,0,54.47,1,0.15,1,1,0,2,2
253,45.39,11.53,1,1,1,62.37,1,0.15,1,1,1,3,3
254,24.78,61.96,1,0,1,91.43,0,0.15,1,0,1,2,2
255,23.67,12.2,0,0,0,46.9,0,0.15,0,0,0,0,0
256,74.6,85.24,0,0,1,44.6,1,0.15,1,0,1,1,2
257,81.66,75.43,1,1,1,56.68,1,0.15,1,1,1,3,3
258,10.53,81.98,1,0,0,57.64,0,0.15,1,0,0,1,1
259,6.66,52.61,1,0,0,95.64,0,0.15,1,0,1,1,2
260,59.44,99.67,0,1,1,74.89,1,0.15,0,1,0,2,1
261,14.62,4.42,1,0,0,80.76,0,0.15,1,0,1,1,2
262,82.47,40.13,0,1,0,78.39,0,0.15,0,1,0,1,1
263,31.03,32.39,1,0,1,47.18,1,0.15,1,0,1,2,2
264,14.39,94.86,0,0,1,24.37,1,0.15,0,0,1,1,1
265,92.1,57.69,0,1,1,79.53,1,0.15,1,1,1,2,3
266,16.55,80.62,0,0,1,74.0,0,0.15,0,0,1,1,1
267,28.47,17.03,1,0,1,71.69,1,0.15,1,0,0,2,1
268,15.36,97.86,0,1,1,62.47,0,0.15,0,1,1,2,2
269,11.55,49.86,0,1,0,44.62,1,0.15,0,0,0,1,0
270,2.11,49.37,0,0,0,65.25,0,0.15,0,0,0,0,0
271,5.54,97.09,0,1,1,77.66,0,0.15,1,1,0,2,2
272,17.46,38.07,1,0,1,42.84,0,0.15,1,0,0,2,1
273,5.34,39.75,0,0,0,75.11,0,0.15,0,1,0,0,1
274,59.11,58.48,0,0,0,76.45,0,0.15,1,0,0,0,1
275,68.07,12.81,0,1,1,44.08,1,0.15,0,1,1,2,2
276,39.36,32.11,1,1,1,20.49,1,0.15,1,1,1,3,3
277,31.8,19.32,1,0,1,67.77,0,0.15,1,0,1,2,2
278,50.45,10.33,1,1,0,97.78,0,0.15,1,1,0,2,2
279,87.5,86.61,1,1,1,92.67,1,0.15,1,1,1,3,3
280,85.11,58.93,0,1,1,88.96,0,0.15,0,1,1,2,2
281,4.35,35.87,1,0,1,94.48,0,0.15,1,0,0,2,1
282,18.15,40.87,1,0,1,47.85,1,0.15,1,0,1,2,2
283,23.67,43.15,1,0,1,83.17,0,0.15,1,0,1,2,2
284,24.94,63.31,1,0,1,43.01,1,0.15,1,0,1,2,2
285,57.12,92.68,0,1,0,68.05,0,0.15,0,0,0,1,0
286,41.63,93.28,0,0,1,61.57,0,0.15,0,0,0,1,0
287,4.93,39.15,0,0,0,30.26,0,0.15,0,1,0,0,1
288,37.36,32.93,1,0,1,91.93,0,0.15,1,0,1,2,2
289,52.38,45.1,1,1,0,46.83,1,0.15,1,1,1,2,3
290,10.17,56.79,1,0,1,51.72,0,0.15,0,0,0,2,0
291,83.35,46.18,0,1,1,45.96,1,0.15,0,0,0,2,0
292,5.2,65.88,1,0,1,42.03,1,0.15,1,0,1,2,2
293,92.48,55.44,0,1,1,100.0,0,0.15,0,0,1,2,1
294,9.91,32.07,1,0,1,97.98,0,0.15,1,0,1,2,2
295,84.36,34.57,1,1,0,56.52,0,0.15,1,1,0,2,2
296,90.27,37.86,1,0,1,78.9,0,0.15,1,0,1,2,2
297,97.96,9.46,1,1,0,69.94,0,0.15,1,1,0,2,2
298,80.2,16.61,1,1,0,79.86,1,0.15,1,1,0,2,2
299,77.95,72.31,0,1,1,68.07,1,0.15,1,1,1,2,3
300,64.25,38.91,1,1,1,49.88,1,0.15,0,1,1,3,2
301,77.9,21.45,0,0,1,82.64,0,0.15,0,0,1,1,1
302,13.46,56.27,0,0,0,57.73,0,0.15,0,0,0,0,0
303,53.61,75.55,0,1,0,83.23,1,0.15,1,1,0,1,2
304,51.42,25.74,1,0,1,65.61,1,0.15,1,0,1,2,2
305,85.76,82.68,0,1,1,76.16,1,0.15,1,1,1,2,3
306,46.28,92.75,0,1,1,30.9,0,0.15,0,1,1,2,2
307,38.51,59.74,1,0,1,70.56,0,0.15,1,0,1,2,2
308,63.96,66.89,0,1,1,93.32,1,0.15,0,1,0,2,1
309,26.65,5.26,1,0,0,89.88,0,0.15,1,1,0,1,2
310,13.98,94.55,1,0,1,17.94,1,0.15,1,1,0,2,2
311,47.79,39.25,0,0,1,68.93,0,0.15,0,0,1,1,1
312,41.69,92.39,0,0,0,53.2,0,0.15,0,1,0,0,1
313,23.26,57.9,1,0,1,77.19,1,0.15,0,0,1,2,1
314,36.75,0.46,1,1,0,75.1,0,0.15,1,1,0,2,2
315,36.64,3.85,1,0,1,40.88,1,0.15,1,0,1,2,2
316,32.75,68.04,0,0,1,70.73,0,0.15,0,0,1,1,1
317,37.95,56.27,1,1,0,11.77,1,0.15,1,0,0,2,1
318,68.57,2.65,1,1,0,61.78,0,0.15,1,0,1,2,2
319,29.69,74.35,0,0,0,70.01,0,0.15,0,0,0,0,0
320,94.89,85.21,1,1,1,81.25,1,0.15,1,1,1,3,3
321,91.63,49.64,1,1,0,35.85,1,0.15,0,1,0,2,1
322,48.09,46.58,1,1,1,49.92,1,0.15,1,1,1,3,3
323,32.84,0.55,1,1,1,86.36,0,0.15,1,0,1,3,2
324,53.54,78.66,0,0,1,52.16,0,0.15,0,0,1,1,1
325,84.86,33.07,1,1,1,68.88,1,0.15,0,0,1,3,1
326,65.26,87.88,1,0,1,61.37,1,0.15,1,0,1,2,2
327,80.44,37.31,1,1,1,91.54,1,0.15,1,1,0,3,2
328,53.27,56.51,1,0,1,71.64,0,0.15,1,1,1,2,3
329,63.29,27.03,1,1,0,57.08,1,0.15,1,0,1,2,2
330,28.82,16.06,1,0,0,82.88,0,0.15,1,1,0,1,2
331,73.49,77.49,0,0,1,41.15,1,0.15,0,0,1,1,1
332,20.24,49.66,1,0,0,45.53,1,0.15,1,0,1,1,2
333,69.48,53.65,0,1,1,54.08,1,0.15,0,0,0,2,0
334,86.07,96.54,0,1,1,63.3,1,0.15,0,1,1,2,2
335,13.21,96.36,0,0,1,78.88,0,0.15,0,0,1,1,1
336,61.44,85.56,0,1,1,86.23,0,0.15,0,1,1,2,2
337,9.51,18.76,0,0,1,52.4,0,0.15,0,0,1,1,1
338,72.57,59.43,1,0,1,82.33,0,0.15,1,0,1,2,2
339,8.45,87.81,0,0,0,87.96,0,0.15,0,0,0,0,0
340,93.59,37.45,1,1,0,54.1,1,0.15,1,1,0,2,2
341,13.74,10.11,1,0,1,49.76,1,0.15,0,0,1,2,1
342,95.89,81.1,0,0,1,82.88,0,0.15,0,0,1,1,1
343,80.09,48.18,0,1,1,81.01,0,0.15,0,1,0,2,1
344,59.37,56.44,1,1,1,32.75,1,0.15,1,1,1,3,3
345,78.26,98.21,0,1,1,86.14,1,0.15,0,1,1,2,2
346,79.51,60.72,0,1,0,69.49,0,0.15,0,0,1,1,1
347,94.6,42.5,0,0,0,100.0,0,0.15,0,0,0,0,0
348,25.34,37.0,0,0,0,58.39,0,0.15,0,0,0,0,0
349,59.01,41.76,1,0,1,66.74,0,0.15,0,0,1,2,1
350,9.5,11.84,1,0,0,83.79,0,0.15,1,0,0,1,1
351,61.62,79.48,0,1,1,93.31,0,0.15,0,1,1,2,2
352,17.13,83.77,1,0,1,69.62,0,0.15,1,0,1,2,2
353,56.5,28.44,1,1,1,70.3,1,0.15,1,1,1,3,3
354,57.24,30.38,1,1,1,53.69,1,0.15,1,1,1,3,3
355,46.6,87.43,0,1,0,55.52,1,0.15,0,1,1,1,2
356,52.26,2.4,1,1,0,64.48,0,0.15,1,1,0,2,2
357,76.39,52.05,1,1,0,95.56,0,0.15,1,1,1,2,3
358,79.92,46.37,1,1,1,52.89,1,0.15,1,1,1,3,3
359,49.22,69.01,1,0,1,80.07,1,0.15,0,0,1,2,1
360,59.96,16.34,1,1,0,71.94,0,0.15,1,1,1,2,3
361,93.12,66.83,1,1,1,67.61,1,0.15,1,1,1,3,3
362,11.97,37.67,1,0,1,59.13,1,0.15,0,0,1,2,1
363,11.71,61.87,0,0,1,65.31,0,0.15,0,0,1,1,1
364,8.77,4.01,0,0,0,59.43,0,0.15,0,0,0,0,0
365,65.79,46.17,1,1,1,77.97,0,0.15,0,1,1,3,2
366,41.86,52.23,0,1,1,86.77,0,0.15,0,0,1,2,1
367,77.43,21.43,1,1,1,52.75,1,0.15,1,1,1,3,3
368,67.12,13.96,1,1,1,58.76,1,0.15,0,1,1,3,2
369,33.36,18.85,1,0,1,70.51,0,0.15,1,1,0,2,2
370,89.84,34.41,1,1,1,80.29,1,0.15,1,1,0,3,2
371,76.25,9.68,1,0,1,61.47,1,0.15,1,0,0,2,1
372,27.05,94.73,0,0,1,79.7,1,0.15,0,0,1,1,1
373,36.42,40.5,1,1,1,50.6,1,0.15,1,1,1,3,3
374,31.44,80.9,0,0,1,66.06,0,0.15,0,0,1,1,1
375,15.76,97.44,0,0,0,63.2,0,0.15,0,0,0,0,0
376,14.78,8.07,1,0,1,44.63,0,0.15,1,0,1,2,2
377,93.61,65.17,1,1,1,50.82,1,0.15,1,1,1,3,3
378,43.79,87.14,0,0,1,46.46,1,0.15,0,0,1,1,1
379,38.33,63.42,0,0,0,89.76,0,0.15,0,0,0,0,0
380,72.97,42.9,1,0,1,79.71,0,0.15,1,0,1,2,2
381,55.3,43.11,0,1,1,50.07,1,0.15,0,1,1,2,2
382,93.61,3.59,1,0,0,100.0,0,0.15,1,0,0,1,1
